"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.83697288116551e-07,1.22350007661871,0.274,0.121,0.00389062460923038,"FCGR3A+ Mono","NDUFB6"
2.86390666748825e-07,0.457651394106431,0.269,0.115,0.00392756160379338,"FCGR3A+ Mono","HTATIP2"
3.068859624946e-07,0.79325995283409,0.291,0.132,0.00420863408965095,"FCGR3A+ Mono","YWHAE"
3.13270350902936e-07,0.757077093241894,0.314,0.145,0.00429618959228286,"FCGR3A+ Mono","COMT"
3.17679640101e-07,0.472626098341478,0.486,0.26,0.00435665858434511,"FCGR3A+ Mono","ZNHIT1"
3.34370444278566e-07,0.653386106471498,0.269,0.12,0.00458555627283626,"FCGR3A+ Mono","NDUFC1"
3.39347456663063e-07,0.462808744045143,0.6,0.354,0.00465381102067725,"FCGR3A+ Mono","CRIP1"
3.65779287792859e-07,0.648429470027567,0.611,0.346,0.00501629715279127,"FCGR3A+ Mono","CALM3"
3.69632828153143e-07,0.385637392901517,0.326,0.153,0.00506914460529221,"FCGR3A+ Mono","PHPT1"
4.00001085468268e-07,0.331114363832325,0.743,0.434,0.00548561488611182,"FCGR3A+ Mono","ARF1"
4.09534742359415e-07,0.659195082629023,0.36,0.177,0.00561635945671702,"FCGR3A+ Mono","COX6A1P2"
4.95574525690162e-07,0.479363477474882,0.251,0.107,0.00679630904531489,"FCGR3A+ Mono","TANK"
5.25024982978026e-07,0.753445735445608,0.343,0.164,0.00720019261656065,"FCGR3A+ Mono","LSMD1"
5.4290051875949e-07,0.428217245583273,0.469,0.249,0.00744533771426764,"FCGR3A+ Mono","AMICA1"
5.50415901416833e-07,0.466202334641289,0.56,0.323,0.00754840367203045,"FCGR3A+ Mono","SEPT9"
5.749194384115e-07,0.90755349714422,0.32,0.154,0.00788444517837532,"FCGR3A+ Mono","NDUFS3"
6.28519165871818e-07,0.289924507067075,0.543,0.29,0.00861951184076611,"FCGR3A+ Mono","SRSF9"
7.02433535923621e-07,0.522959187239612,0.337,0.168,0.00963317351165653,"FCGR3A+ Mono","KDELR2"
8.41312287085647e-07,0.576759080842094,0.286,0.131,0.0115377567050926,"FCGR3A+ Mono","PSENEN"
1.00846486025812e-06,0.4151030269848,0.794,0.549,0.0138300870935798,"FCGR3A+ Mono","ENO1"
1.02998950041266e-06,0.473833275204262,0.309,0.148,0.0141252760086592,"FCGR3A+ Mono","ADI1"
1.06314755126343e-06,0.535666072656027,0.286,0.134,0.0145800055180267,"FCGR3A+ Mono","SQRDL"
1.07890302544463e-06,0.465453135268628,0.349,0.172,0.0147960760909477,"FCGR3A+ Mono","TWF2"
1.10717957025345e-06,0.377551671662514,0.389,0.193,0.0151838606264558,"FCGR3A+ Mono","MT-ND3"
