"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006959","humoral immune response","7/61","307/18860",0.0228013029315961,7.04971431622791,6.08770859923044,5.81188769463816e-05,0.00158206063311193,0.00124137739247655,"3123/931/3119/951/2208/4208/5452",7
"GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","6/61","210/18860",0.0285714285714286,8.83372365339578,6.50272443246923,5.91542161943203e-05,0.00158206063311193,0.00124137739247655,"3122/3123/2208/958/4208/8417",6
"GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","5/61","132/18860",0.0378787878787879,11.7113760556384,7.03466476200343,6.76271979374148e-05,0.00177098724598605,0.00138962027340697,"3122/3123/2208/958/8417",5
"GO:0050864","regulation of B cell activation","5/61","134/18860",0.0373134328358209,11.5365793980915,6.97246603875879,7.26329284935872e-05,0.00186325696155998,0.00146202049405996,"972/55024/958/7805/4208",5
"GO:0002708","positive regulation of lymphocyte mediated immunity","5/61","137/18860",0.0364963503649635,11.2839535718559,6.88160191477235,8.06717690370029e-05,0.00193157381932849,0.00151562590018909,"3122/3123/2208/958/8417",5
"GO:0002366","leukocyte activation involved in immune response","7/61","325/18860",0.0215384615384615,6.65926860025221,5.86222611790625,8.30927098391509e-05,0.00193157381932849,0.00151562590018909,"3122/972/3123/3109/3394/958/7462",7
"GO:0030098","lymphocyte differentiation","8/61","441/18860",0.018140589569161,5.60871343072748,5.57856951459461,8.34085461616215e-05,0.00193157381932849,0.00151562590018909,"3122/972/973/3123/974/931/3394/7805",8
"GO:0002821","positive regulation of adaptive immune response","5/61","138/18860",0.036231884057971,11.2021857923497,6.8519395809546,8.34981555046683e-05,0.00193157381932849,0.00151562590018909,"3122/3123/2208/958/8417",5
"GO:0002819","regulation of adaptive immune response","6/61","224/18860",0.0267857142857143,8.28161592505855,6.24499794897196,8.45159586818353e-05,0.00193157381932849,0.00151562590018909,"3122/3123/2208/958/4208/8417",6
"GO:0042098","T cell proliferation","6/61","224/18860",0.0267857142857143,8.28161592505855,6.24499794897196,8.45159586818353e-05,0.00193157381932849,0.00151562590018909,"3115/3123/3113/951/3109/7805",6
"GO:0002263","cell activation involved in immune response","7/61","329/18860",0.0212765957446809,6.57830484827346,5.81443659579948,8.96876428489252e-05,0.0020131672689482,0.00157964889754592,"3122/972/3123/3109/3394/958/7462",7
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction","6/61","232/18860",0.0258620689655172,7.99604296212549,6.10759483867571,0.000102498658118752,0.00226036514482933,0.00177361482284895,"972/3123/4050/958/330/5579",6
"GO:0002285","lymphocyte activation involved in immune response","6/61","235/18860",0.025531914893617,7.89396581792815,6.05775618904335,0.000109978306977253,0.00238349537707597,0.00187023001157324,"3122/972/3123/3109/3394/958",6
"GO:0030183","B cell differentiation","5/61","147/18860",0.0340136054421769,10.516337682614,6.59802074621543,0.000112509382103676,0.00239702192041222,0.00188084372936922,"973/974/931/3394/7805",5
"GO:0042832","defense response to protozoan","3/61","30/18860",0.1,30.9180327868852,9.34168835752341,0.000122817927982531,0.00257303559123403,0.00201895435999354,"951/3394/958",3
"GO:0019883","antigen processing and presentation of endogenous antigen","3/61","32/18860",0.09375,28.9856557377049,9.02537499772767,0.000149354273526255,0.00307767740692628,0.00241492587220192,"3122/972/3123",3
"GO:0002705","positive regulation of leukocyte mediated immunity","5/61","159/18860",0.0314465408805031,9.72265181977524,6.29175145258353,0.00016255598109423,0.00327043379747163,0.00256617382090267,"3122/3123/2208/958/8417",5
"GO:0001562","response to protozoan","3/61","33/18860",0.0909090909090909,28.107302533532,8.87788643435408,0.000163911956436526,0.00327043379747163,0.00256617382090267,"951/3394/958",3
